payoutAmount,workerId,lastIP,lastGPS_lat,weatherCode,lastGPS_lng,payoutStatus,shiftActive,avatar,currentWeather,payoutTimestamp,homeCity,name,lastActivity,lastGPS_city,isMockLocation,id,created_date,updated_date,created_by_id,created_by,is_sample
500,W001,103.21.58.192,28.6139,901.0,77.209,PAID,True,blue,Tropical Storm,2026-03-24T15:48:52.251Z,Delhi,Ravi Sharma,2026-03-24T15:33:27.148Z,Delhi,False,69c2ae5e844b5856bc756eb1,2026-03-24T15:31:42.260000,2026-03-24T15:48:56.641000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
500,W002,49.36.128.45,19.076,232.0,72.8777,PAID,True,purple,Heavy Drizzle Storm,2026-03-24T15:46:56.499Z,Mumbai,Priya Nair,2026-03-24T15:46:49.257Z,Mumbai,False,69c2ae5e844b5856bc756eb2,2026-03-24T15:31:42.260000,2026-03-24T15:47:00.845000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
0,W003,106.51.72.133,12.9716,202.0,77.5946,NONE,True,green,Heavy Thunderstorm,2026-03-24T15:38:48.333Z,Bengaluru,Arjun Singh,2026-03-24T15:47:15.845Z,Bengaluru,False,69c2ae5e844b5856bc756eb3,2026-03-24T15:31:42.260000,2026-03-24T15:47:20.211000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
0,W004,182.73.111.222,19.0823,781.0,72.8812,PENDING,True,red,Tornado,,Delhi,Fake User 1,2026-03-24T15:46:16.444Z,Mumbai,True,69c2ae5e844b5856bc756eb4,2026-03-24T15:31:42.260000,2026-03-24T15:46:24.728000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
0,W005,223.178.44.88,19.0544,,72.8406,NONE,False,orange,,,Chennai,Fake User 2,,Mumbai,False,69c2ae5e844b5856bc756eb5,2026-03-24T15:31:42.260000,2026-03-24T15:31:42.260000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
750,W006,114.107.119.157,28.5792,658.0,77.2035,PAID,False,red,Tropical Storm,2026-03-24T17:21:52.251000Z,Delhi,Karan Das,2026-03-24T15:22:52.251000Z,Delhi,False,a808f7dbe6954401bd317668,2026-03-18T15:48:52.251000,2026-03-24T17:21:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
600,W007,90.167.66.194,22.9859,713.0,72.6187,PENDING,False,green,Rain,2026-03-24T16:30:52.251000Z,Ahmedabad,Nitin Chauhan,2026-03-24T15:46:52.251000Z,Ahmedabad,False,d6ded695fc334e7aa5d54a20,2026-03-21T15:48:52.251000,2026-03-24T16:30:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
750,W008,24.191.81.143,17.3933,653.0,78.4976,PENDING,False,yellow,Partly Cloudy,2026-03-24T16:30:52.251000Z,Hyderabad,Meera Das,2026-03-24T15:44:52.251000Z,Hyderabad,False,4148296c96184e94a2b25bd0,2026-03-20T15:48:52.251000,2026-03-24T16:30:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
1000,W009,215.181.118.196,12.9895,760.0,77.6217,PAID,True,green,Heavy Drizzle Storm,2026-03-24T17:23:52.251000Z,Bangalore,Karan Yadav,2026-03-24T15:26:52.251000Z,Bangalore,False,f6a093cd855546718f080efa,2026-03-20T15:48:52.251000,2026-03-24T17:23:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
500,W010,156.185.93.58,13.1077,304.0,80.2967,PENDING,False,green,Partly Cloudy,2026-03-24T16:19:52.251000Z,Chennai,Kavita Verma,2026-03-24T15:42:52.251000Z,Chennai,False,4874c32760ef471db1755cc8,2026-03-22T15:48:52.251000,2026-03-24T16:19:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
1000,W011,242.21.87.74,13.0821,693.0,80.2812,PENDING,True,green,Partly Cloudy,2026-03-24T17:13:52.251000Z,Chennai,Kavita Verma,2026-03-24T15:47:52.251000Z,Chennai,False,e4fce2580e4c46169aa4160d,2026-03-23T15:48:52.251000,2026-03-24T17:13:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
